Swineblood_Trial_INPUT_OUTPUT.txt



INPUTS:

Spread_Fact_cu =15
Spread_Fact_theta =0.34907
Spread_Fact_upsilon =0.34907
res =7.5
user_clstr =0
dwn_samp_stains =1
dwnsamp =1
sampsize =3
overlap =2
alpha_clstr =0
dist_clstr =0
opti_space =1

Cast-off Reconstruction Results:
High Percentile Faces(x) High Percentile Faces(y)             High Percentile Faces(z)
      11.000                   13.000                               19.000
      11.000                   19.000                               38.000
      11.000                   25.000                               38.000
      12.000                   14.000                               20.000
      12.000                   20.000                               49.000
      12.000                   39.000                               49.000
      13.000                   19.000                               50.000
      13.000                   40.000                               70.000
      13.000                   40.000                               75.000
      13.000                   50.000                               75.000
      14.000                   16.000                               22.000
      14.000                   20.000                               22.000
      15.000                   40.000                               51.000
      15.000                   40.000                               71.000
      15.000                   41.000                               71.000
      15.000                   41.000                               76.000
      15.000                   51.000                               76.000
      16.000                   22.000                               77.000
      16.000                   32.000                               72.000
      16.000                   44.000                               72.000
      16.000                   44.000                               77.000
      17.000                   36.000                               74.000
      17.000                   45.000                               78.000
      17.000                   48.000                               74.000
      17.000                   48.000                               78.000
      18.000                   46.000                               79.000
      18.000                   49.000                               84.000
      18.000                   79.000                               84.000
      19.000                   38.000                               47.000
      19.000                   47.000                               80.000
      19.000                   50.000                               80.000
      20.000                   22.000                               88.000
      20.000                   49.000                               84.000
      20.000                   84.000                               88.000
      21.000                   40.000                               51.000
      21.000                   40.000                               75.000
      21.000                   50.000                               75.000
      21.000                   50.000                               80.000
      21.000                   51.000                               85.000
      21.000                   80.000                               85.000
      22.000                   52.000                               77.000
      22.000                   52.000                               88.000
      23.000                   51.000                               76.000
      23.000                   51.000                               85.000
      23.000                   53.000                               76.000
      23.000                   53.000                               89.000
      23.000                   85.000                               89.000
      24.000                   44.000                               54.000
      24.000                   44.000                               77.000
      24.000                   52.000                               77.000
      24.000                   52.000                               90.000
      24.000                   54.000                               90.000
      25.000                   26.000                               38.000
      25.000                   26.000                               55.000
      26.000                   27.000                               56.000
      26.000                   27.000                               67.000
      26.000                   55.000                               56.000
      27.000                   28.000                               57.000
      27.000                   28.000                               68.000
      27.000                   56.000                               57.000
      27.000                   67.000                               68.000
      28.000                   29.000                               39.000
      28.000                   29.000                               58.000
      28.000                   39.000                               69.000
      28.000                   57.000                               58.000
      28.000                   68.000                               69.000
      29.000                   58.000                               59.000
      30.000                   55.000                               60.000
      31.000                   40.000                               70.000
      31.000                   40.000                               71.000
      31.000                   60.000                               64.000
      33.000                   34.000                               43.000
      33.000                   34.000                               65.000
      33.000                   41.000                               42.000
      33.000                   42.000                               43.000
      33.000                   64.000                               65.000
      34.000                   43.000                               44.000
      34.000                   44.000                               72.000
      37.000                   45.000                               46.000
      37.000                   66.000                               69.000
      38.000                   47.000                               48.000
      38.000                   48.000                               74.000
      41.000                   42.000                               53.000
      41.000                   53.000                               76.000
      42.000                   43.000                               54.000
      42.000                   53.000                               54.000
      43.000                   44.000                               54.000
      45.000                   46.000                               79.000
      45.000                   78.000                               79.000
      47.000                   48.000                               81.000
      47.000                   80.000                               81.000
      48.000                   78.000                               81.000
      52.000                   88.000                               90.000
      53.000                   54.000                               89.000
      54.000                   89.000                               90.000
      55.000                   56.000                               60.000
      56.000                   57.000                               61.000
      56.000                   60.000                               61.000
      57.000                   58.000                               62.000
      57.000                   61.000                               62.000
      58.000                   59.000                               63.000
      58.000                   62.000                               63.000
      60.000                   61.000                               64.000
      61.000                   62.000                               65.000
      61.000                   64.000                               65.000
      62.000                   63.000                               65.000
      66.000                   67.000                               68.000
      66.000                   68.000                               69.000
      78.000                   79.000                               83.000
      78.000                   81.000                               82.000
      78.000                   82.000                               83.000
      79.000                   83.000                               84.000
      80.000                   81.000                               85.000
      81.000                   82.000                               86.000
      81.000                   85.000                               86.000
      82.000                   83.000                               87.000
      82.000                   86.000                               87.000
      83.000                   84.000                               88.000
      83.000                   87.000                               88.000
      85.000                   86.000                               89.000
      86.000                   87.000                               90.000
      86.000                   89.000                               90.000
      87.000                   88.000                               90.000
High Percentile Vertices(x) High Percentile Vertices(y)          High Percentile Vertices(z)
     120.000                   30.000                               80.420
     120.000                   30.000                              115.089
     127.500                   30.000                               82.839
     127.500                   30.000                              113.622
     135.000                   30.000                               91.852
     135.000                   30.000                              108.051
     105.000                   37.500                               93.270
     105.000                   37.500                               99.660
     112.500                   37.500                               85.023
     112.500                   37.500                              109.595
     120.000                   37.500                               77.336
     120.000                   37.500                              118.188
     127.500                   37.500                               79.533
     127.500                   37.500                              117.913
     135.000                   37.500                               86.153
     135.000                   37.500                              113.968
     112.500                   45.000                               90.621
     112.500                   45.000                              109.771
     120.000                   45.000                               81.100
     120.000                   45.000                              115.749
     127.500                   45.000                               83.582
     127.500                   45.000                              114.778
     135.000                   45.000                               91.439
     135.000                   45.000                              109.430
     117.674                   30.000                               82.500
     112.823                   30.000                               90.000
     112.526                   30.000                               97.500
     113.126                   30.000                              105.000
     117.168                   30.000                              112.500
     125.605                   30.000                               82.500
     134.329                   30.000                               90.000
     129.181                   30.000                              112.500
     138.185                   30.000                               97.500
     137.270                   30.000                              105.000
     104.094                   37.500                               97.500
     105.851                   37.500                               90.000
     107.341                   37.500                              105.000
     113.688                   37.500                               82.500
     113.491                   37.500                              112.500
     130.779                   37.500                               82.500
     138.503                   37.500                               90.000
     141.328                   37.500                               97.500
     141.132                   37.500                              105.000
     136.223                   37.500                              112.500
     108.083                   45.000                               97.500
     107.670                   45.000                              105.000
     118.093                   45.000                               82.500
     112.568                   45.000                               90.000
     115.555                   45.000                              112.500
     123.012                   45.000                               82.500
     134.364                   45.000                               90.000
     130.915                   45.000                              112.500
     138.732                   45.000                               97.500
     138.283                   45.000                              105.000
     120.000                   27.937                               82.500
     120.000                   23.327                               90.000
     120.000                   22.893                               97.500
     120.000                   23.468                              105.000
     120.000                   27.476                              112.500
     127.500                   24.215                               90.000
     127.500                   23.432                               97.500
     127.500                   24.134                              105.000
     127.500                   29.009                              112.500
     135.000                   27.082                               97.500
     135.000                   27.968                              105.000
     105.000                   36.282                               97.500
     112.500                   31.575                               90.000
     112.500                   30.149                               97.500
     112.500                   33.003                              105.000
     127.500                   31.115                               82.500
     135.000                   31.581                               90.000
     135.000                   35.739                              112.500
     105.000                   39.511                               97.500
     112.500                   44.586                               90.000
     127.500                   42.138                               82.500
     135.000                   43.499                               90.000
     135.000                   39.615                              112.500
     112.500                   47.731                               97.500
     112.500                   48.800                              105.000
     120.000                   46.410                               82.500
     120.000                   51.679                               90.000
     120.000                   52.495                               97.500
     120.000                   52.054                              105.000
     120.000                   48.252                              112.500
     127.500                   50.488                               90.000
     127.500                   51.885                               97.500
     127.500                   51.419                              105.000
     127.500                   47.060                              112.500
     135.000                   48.518                               97.500
     135.000                   48.000                              105.000
