actual_x,actual_y,actual_z
126.948,41,161.196
126.369,41,161.42
125.787,41,161.639
125.204,41,161.853
124.619,41,162.062
124.032,41,162.266
123.443,41,162.465
122.853,41,162.658
122.261,41,162.847
121.667,41,163.03
121.072,41,163.208
120.475,41,163.381
119.877,41,163.548
119.277,41,163.711
118.676,41,163.868
118.073,41,164.02
117.47,41,164.166
116.865,41,164.307
116.258,41,164.443
115.651,41,164.574
115.042,41,164.7
114.433,41,164.82
113.822,41,164.934
113.21,41,165.044
112.598,41,165.148
111.984,41,165.246
111.37,41,165.34
110.755,41,165.428
110.139,41,165.51
109.523,41,165.587
108.906,41,165.659
108.288,41,165.726
107.669,41,165.786
107.051,41,165.842
106.431,41,165.892
105.812,41,165.937
105.192,41,165.976
104.571,41,166.01
103.95,41,166.039
103.33,41,166.062
102.708,41,166.079
102.087,41,166.092
101.466,41,166.098
100.845,41,166.1
100.223,41,166.096
99.602,41,166.086
98.981,41,166.071
98.36,41,166.051
97.739,41,166.025
97.119,41,165.994
96.498,41,165.957
95.878,41,165.915
95.259,41,165.868
94.64,41,165.815
94.021,41,165.757
93.403,41,165.693
92.786,41,165.624
92.169,41,165.549
91.553,41,165.47
90.937,41,165.384
90.323,41,165.294
89.709,41,165.198
89.096,41,165.096
88.484,41,164.99
87.873,41,164.878
87.262,41,164.76
86.653,41,164.638
86.045,41,164.509
85.438,41,164.376
84.833,41,164.238
84.228,41,164.094
83.625,41,163.944
83.023,41,163.79
82.423,41,163.63
81.824,41,163.465
81.226,41,163.295
80.63,41,163.12
80.036,41,162.939
79.443,41,162.753
78.852,41,162.562
78.262,41,162.366
77.674,41,162.165
77.088,41,161.958
76.504,41,161.747
75.922,41,161.53
75.341,41,161.309
74.763,41,161.082
74.186,41,160.85
73.612,41,160.613
73.04,41,160.371
72.469,41,160.125
71.901,41,159.873
71.336,41,159.616
70.772,41,159.354
70.211,41,159.088
69.652,41,158.816
69.096,41,158.54
68.541,41,158.259
67.99,41,157.973
67.441,41,157.682
66.894,41,157.386
66.351,41,157.086
