Cast-off Reconstruction Results:
High Percentile Faces(x) High Percentile Faces(y)             High Percentile Faces(z)
      16.000                   32.000                               50.000
      16.000                   45.000                               94.000
      16.000                   50.000                               99.000
      16.000                   94.000                               99.000
      17.000                   19.000                              100.000
      17.000                   33.000                               51.000
      17.000                   51.000                              100.000
      18.000                   52.000                              101.000
      18.000                   53.000                              104.000
      18.000                  101.000                              104.000
      19.000                   36.000                               54.000
      19.000                   54.000                              102.000
      19.000                  100.000                              102.000
      20.000                   22.000                              108.000
      20.000                   53.000                              104.000
      20.000                  104.000                              108.000
      21.000                   36.000                               54.000
      21.000                   38.000                               56.000
      21.000                   54.000                              105.000
      21.000                   56.000                              105.000
      22.000                   39.000                               57.000
      22.000                   57.000                              108.000
      23.000                   37.000                               55.000
      23.000                   55.000                              109.000
      23.000                   58.000                              109.000
      24.000                   40.000                               58.000
      24.000                   55.000                              109.000
      24.000                   58.000                              109.000
      25.000                   38.000                               56.000
      25.000                   43.000                               61.000
      25.000                   56.000                              110.000
      25.000                   61.000                              110.000
      26.000                   28.000                              120.000
      26.000                   39.000                               57.000
      26.000                   57.000                              113.000
      26.000                  113.000                              120.000
      27.000                   29.000                              114.000
      27.000                   41.000                               59.000
      27.000                   59.000                              114.000
      28.000                   44.000                               62.000
      28.000                   62.000                              120.000
      29.000                   31.000                              121.000
      29.000                  114.000                              121.000
      30.000                   44.000                               62.000
      30.000                   46.000                               64.000
      30.000                   62.000                              126.000
      30.000                   64.000                              126.000
      31.000                   65.000                              127.000
      31.000                  121.000                              127.000
      32.000                   45.000                               63.000
      32.000                   50.000                               68.000
      32.000                   63.000                              130.000
      32.000                   68.000                              130.000
      33.000                   34.000                               52.000
      33.000                   34.000                               69.000
      33.000                   51.000                               52.000
      34.000                   69.000                               70.000
      35.000                   70.000                               73.000
      41.000                   42.000                               60.000
      41.000                   42.000                               83.000
      41.000                   59.000                               60.000
      42.000                   43.000                               61.000
      42.000                   43.000                               84.000
      42.000                   60.000                               61.000
      42.000                   83.000                               84.000
      43.000                   84.000                               85.000
      45.000                   46.000                               64.000
      45.000                   46.000                               95.000
      45.000                   63.000                               64.000
      45.000                   94.000                               95.000
      47.000                   48.000                               66.000
      47.000                   48.000                               97.000
      47.000                   65.000                               66.000
      47.000                   96.000                               97.000
      48.000                   49.000                               67.000
      48.000                   49.000                               98.000
      48.000                   66.000                               67.000
      48.000                   97.000                               98.000
      49.000                   50.000                               68.000
      49.000                   50.000                               99.000
      49.000                   67.000                               68.000
